option,recall_images,target_image,hit,image_rank,is_top10
trailer tractor truck in parking lot with natural greenery,"['unlabeled2017/000000257200.jpg', 'unlabeled2017/000000086044.jpg', 'unlabeled2017/000000325798.jpg', 'unlabeled2017/000000370556.jpg', 'unlabeled2017/000000444422.jpg', 'unlabeled2017/000000545661.jpg', 'unlabeled2017/000000284655.jpg', 'unlabeled2017/000000341333.jpg', 'unlabeled2017/000000449924.jpg', 'unlabeled2017/000000067272.jpg']",unlabeled2017/000000067272.jpg,True,269,0
6 people are sitting around a table with 2 pizzas and drinks,"['unlabeled2017/000000185692.jpg', 'unlabeled2017/000000196431.jpg', 'unlabeled2017/000000506352.jpg', 'unlabeled2017/000000413897.jpg', 'unlabeled2017/000000568017.jpg', 'unlabeled2017/000000419498.jpg', 'unlabeled2017/000000488973.jpg', 'unlabeled2017/000000161324.jpg', 'unlabeled2017/000000210304.jpg', 'unlabeled2017/000000347725.jpg']",unlabeled2017/000000347725.jpg,True,518,0
"down on a busy street, an oversized bus takes up half of a lane of traffic as cars zoom by on the other side","['unlabeled2017/000000412343.jpg', 'unlabeled2017/000000130431.jpg', 'unlabeled2017/000000035540.jpg', 'unlabeled2017/000000580268.jpg', 'unlabeled2017/000000107514.jpg', 'unlabeled2017/000000002081.jpg', 'unlabeled2017/000000010416.jpg', 'unlabeled2017/000000301057.jpg', 'unlabeled2017/000000464154.jpg', 'unlabeled2017/000000345606.jpg']",unlabeled2017/000000345606.jpg,True,33,0
a man holding a disk smiles as he leans against a sign at a disc golf course,"['unlabeled2017/000000315117.jpg', 'unlabeled2017/000000316055.jpg', 'unlabeled2017/000000052593.jpg', 'unlabeled2017/000000465565.jpg', 'unlabeled2017/000000240212.jpg', 'unlabeled2017/000000265976.jpg', 'unlabeled2017/000000528598.jpg', 'unlabeled2017/000000542438.jpg', 'unlabeled2017/000000196077.jpg', 'unlabeled2017/000000279729.jpg']",unlabeled2017/000000240212.jpg,True,0,1
a very young child is standing in dirt and holding a cell phone,"['unlabeled2017/000000128578.jpg', 'unlabeled2017/000000200107.jpg', 'unlabeled2017/000000141192.jpg', 'unlabeled2017/000000466572.jpg', 'unlabeled2017/000000098876.jpg', 'unlabeled2017/000000215305.jpg', 'unlabeled2017/000000054727.jpg', 'unlabeled2017/000000269227.jpg', 'unlabeled2017/000000312140.jpg', 'unlabeled2017/000000569228.jpg']",unlabeled2017/000000128578.jpg,True,0,1
a nokia tablet pc in a keyboard dock,"['unlabeled2017/000000531311.jpg', 'unlabeled2017/000000356561.jpg', 'unlabeled2017/000000548655.jpg', 'unlabeled2017/000000263750.jpg', 'unlabeled2017/000000295621.jpg', 'unlabeled2017/000000389051.jpg', 'unlabeled2017/000000008823.jpg', 'unlabeled2017/000000239030.jpg', 'unlabeled2017/000000353037.jpg', 'unlabeled2017/000000504556.jpg']",unlabeled2017/000000239030.jpg,True,1,1
a church steeple on a cloudy day with blue skies,"['unlabeled2017/000000094715.jpg', 'unlabeled2017/000000322908.jpg', 'unlabeled2017/000000175290.jpg', 'unlabeled2017/000000249575.jpg', 'unlabeled2017/000000434170.jpg', 'unlabeled2017/000000044342.jpg', 'unlabeled2017/000000536645.jpg', 'unlabeled2017/000000127650.jpg', 'unlabeled2017/000000171914.jpg', 'unlabeled2017/000000555125.jpg']",unlabeled2017/000000555125.jpg,True,10,0
2 dogs with a hat standing beside each other,"['unlabeled2017/000000131517.jpg', 'unlabeled2017/000000064527.jpg', 'unlabeled2017/000000389309.jpg', 'unlabeled2017/000000411623.jpg', 'unlabeled2017/000000448895.jpg', 'unlabeled2017/000000346029.jpg', 'unlabeled2017/000000290176.jpg', 'unlabeled2017/000000275626.jpg', 'unlabeled2017/000000518676.jpg', 'unlabeled2017/000000412047.jpg']",unlabeled2017/000000064527.jpg,True,4,1
chocolate cake with fresh strawberries and small nuts,"['unlabeled2017/000000029869.jpg', 'unlabeled2017/000000449973.jpg', 'unlabeled2017/000000323159.jpg', 'unlabeled2017/000000500648.jpg', 'unlabeled2017/000000110763.jpg', 'unlabeled2017/000000492177.jpg', 'unlabeled2017/000000404357.jpg', 'unlabeled2017/000000189705.jpg', 'unlabeled2017/000000240825.jpg', 'unlabeled2017/000000422874.jpg']",unlabeled2017/000000029869.jpg,True,1,1
a man puts his hand in the water as his body leans backwards on a white surfboard among the ocean waves,"['unlabeled2017/000000202215.jpg', 'unlabeled2017/000000345890.jpg', 'unlabeled2017/000000243771.jpg', 'unlabeled2017/000000024029.jpg', 'unlabeled2017/000000311676.jpg', 'unlabeled2017/000000022076.jpg', 'unlabeled2017/000000470336.jpg', 'unlabeled2017/000000240203.jpg', 'unlabeled2017/000000446205.jpg', 'unlabeled2017/000000029737.jpg']",unlabeled2017/000000029737.jpg,True,685,0
a chair sitting on the beach with boats in view offshore,"['unlabeled2017/000000285892.jpg', 'unlabeled2017/000000079881.jpg', 'unlabeled2017/000000101269.jpg', 'unlabeled2017/000000033878.jpg', 'unlabeled2017/000000269854.jpg', 'unlabeled2017/000000368890.jpg', 'unlabeled2017/000000100266.jpg', 'unlabeled2017/000000088892.jpg', 'unlabeled2017/000000385129.jpg', 'unlabeled2017/000000504767.jpg']",unlabeled2017/000000033878.jpg,True,48,0
a brown and white dog riding a skateboard,"['unlabeled2017/000000251734.jpg', 'unlabeled2017/000000186021.jpg', 'unlabeled2017/000000577834.jpg', 'unlabeled2017/000000267272.jpg', 'unlabeled2017/000000038189.jpg', 'unlabeled2017/000000493311.jpg', 'unlabeled2017/000000195995.jpg', 'unlabeled2017/000000015688.jpg', 'unlabeled2017/000000542798.jpg', 'unlabeled2017/000000529621.jpg']",unlabeled2017/000000267272.jpg,True,3,1
lots of boats are docked in several straight rows,"['unlabeled2017/000000056722.jpg', 'unlabeled2017/000000221418.jpg', 'unlabeled2017/000000325002.jpg', 'unlabeled2017/000000203647.jpg', 'unlabeled2017/000000269925.jpg', 'unlabeled2017/000000506466.jpg', 'unlabeled2017/000000000097.jpg', 'unlabeled2017/000000440533.jpg', 'unlabeled2017/000000425133.jpg', 'unlabeled2017/000000221035.jpg']",unlabeled2017/000000221035.jpg,True,30,0
a bathroom is filled with assorted items and a toilet in the floor,"['unlabeled2017/000000154064.jpg', 'unlabeled2017/000000212175.jpg', 'unlabeled2017/000000117561.jpg', 'unlabeled2017/000000461087.jpg', 'unlabeled2017/000000346523.jpg', 'unlabeled2017/000000438804.jpg', 'unlabeled2017/000000061813.jpg', 'unlabeled2017/000000049888.jpg', 'unlabeled2017/000000221357.jpg', 'unlabeled2017/000000200319.jpg']",unlabeled2017/000000200319.jpg,True,1004,0
a white river boat sales towards mountains in the background,"['unlabeled2017/000000494435.jpg', 'unlabeled2017/000000501139.jpg', 'unlabeled2017/000000123186.jpg', 'unlabeled2017/000000133192.jpg', 'unlabeled2017/000000519184.jpg', 'unlabeled2017/000000292938.jpg', 'unlabeled2017/000000376596.jpg', 'unlabeled2017/000000040112.jpg', 'unlabeled2017/000000252516.jpg', 'unlabeled2017/000000307868.jpg']",unlabeled2017/000000307868.jpg,True,80,0
a person riding skis down a hill with glasses on,"['unlabeled2017/000000533279.jpg', 'unlabeled2017/000000490873.jpg', 'unlabeled2017/000000266428.jpg', 'unlabeled2017/000000468359.jpg', 'unlabeled2017/000000555275.jpg', 'unlabeled2017/000000401263.jpg', 'unlabeled2017/000000180286.jpg', 'unlabeled2017/000000367343.jpg', 'unlabeled2017/000000044234.jpg', 'unlabeled2017/000000214573.jpg']",unlabeled2017/000000214573.jpg,True,151,0
a plate of partially eaten food on a table,"['unlabeled2017/000000260769.jpg', 'unlabeled2017/000000386201.jpg', 'unlabeled2017/000000479247.jpg', 'unlabeled2017/000000151240.jpg', 'unlabeled2017/000000463192.jpg', 'unlabeled2017/000000417956.jpg', 'unlabeled2017/000000214325.jpg', 'unlabeled2017/000000070656.jpg', 'unlabeled2017/000000444806.jpg', 'unlabeled2017/000000137772.jpg']",unlabeled2017/000000137772.jpg,True,4,1
an animal stuffed into a suitcase sitting on the floor,"['unlabeled2017/000000482118.jpg', 'unlabeled2017/000000159772.jpg', 'unlabeled2017/000000416201.jpg', 'unlabeled2017/000000470125.jpg', 'unlabeled2017/000000144749.jpg', 'unlabeled2017/000000555083.jpg', 'unlabeled2017/000000117706.jpg', 'unlabeled2017/000000017110.jpg', 'unlabeled2017/000000273264.jpg', 'unlabeled2017/000000117081.jpg']",unlabeled2017/000000117081.jpg,True,2,1
a little girl eating a piece of pizza and 2 small pieces on her plate,"['unlabeled2017/000000011960.jpg', 'unlabeled2017/000000346525.jpg', 'unlabeled2017/000000138429.jpg', 'unlabeled2017/000000578271.jpg', 'unlabeled2017/000000531902.jpg', 'unlabeled2017/000000459479.jpg', 'unlabeled2017/000000334593.jpg', 'unlabeled2017/000000388140.jpg', 'unlabeled2017/000000157057.jpg', 'unlabeled2017/000000099643.jpg']",unlabeled2017/000000099643.jpg,True,51,0
in the downtown market place there are a bunch of people on bikes and moving around,"['unlabeled2017/000000577778.jpg', 'unlabeled2017/000000132934.jpg', 'unlabeled2017/000000475654.jpg', 'unlabeled2017/000000015288.jpg', 'unlabeled2017/000000520249.jpg', 'unlabeled2017/000000441556.jpg', 'unlabeled2017/000000431491.jpg', 'unlabeled2017/000000267303.jpg', 'unlabeled2017/000000278420.jpg', 'unlabeled2017/000000240413.jpg']",unlabeled2017/000000240413.jpg,True,118,0
a decrepit bathroom painted green shows a broken toilet and a black bag dangling from a towel rack,"['unlabeled2017/000000059107.jpg', 'unlabeled2017/000000085206.jpg', 'unlabeled2017/000000392549.jpg', 'unlabeled2017/000000376011.jpg', 'unlabeled2017/000000364981.jpg', 'unlabeled2017/000000054360.jpg', 'unlabeled2017/000000269567.jpg', 'unlabeled2017/000000497735.jpg', 'unlabeled2017/000000178806.jpg', 'unlabeled2017/000000063295.jpg']",unlabeled2017/000000059107.jpg,True,0,1
people are standing in front of a rustic building as a truck drive by,"['unlabeled2017/000000559885.jpg', 'unlabeled2017/000000563794.jpg', 'unlabeled2017/000000299796.jpg', 'unlabeled2017/000000244253.jpg', 'unlabeled2017/000000547687.jpg', 'unlabeled2017/000000535382.jpg', 'unlabeled2017/000000442116.jpg', 'unlabeled2017/000000240796.jpg', 'unlabeled2017/000000529245.jpg', 'unlabeled2017/000000249833.jpg']",unlabeled2017/000000249833.jpg,True,84,0
a lone rider and horse travel over a grassy field with snow capped mountains in the background,"['unlabeled2017/000000397007.jpg', 'unlabeled2017/000000143226.jpg', 'unlabeled2017/000000438547.jpg', 'unlabeled2017/000000568935.jpg', 'unlabeled2017/000000323059.jpg', 'unlabeled2017/000000254943.jpg', 'unlabeled2017/000000514007.jpg', 'unlabeled2017/000000423499.jpg', 'unlabeled2017/000000066954.jpg', 'unlabeled2017/000000258193.jpg']",unlabeled2017/000000258193.jpg,True,11,0
a group of skiers waiting for the lift,"['unlabeled2017/000000076320.jpg', 'unlabeled2017/000000234036.jpg', 'unlabeled2017/000000023817.jpg', 'unlabeled2017/000000268684.jpg', 'unlabeled2017/000000367902.jpg', 'unlabeled2017/000000155928.jpg', 'unlabeled2017/000000110686.jpg', 'unlabeled2017/000000245120.jpg', 'unlabeled2017/000000516036.jpg', 'unlabeled2017/000000537852.jpg']",unlabeled2017/000000023817.jpg,True,23,0
a young red headed man is brushing his teeth,"['unlabeled2017/000000384075.jpg', 'unlabeled2017/000000406110.jpg', 'unlabeled2017/000000288418.jpg', 'unlabeled2017/000000172841.jpg', 'unlabeled2017/000000004374.jpg', 'unlabeled2017/000000304130.jpg', 'unlabeled2017/000000089544.jpg', 'unlabeled2017/000000139278.jpg', 'unlabeled2017/000000284395.jpg', 'unlabeled2017/000000203475.jpg']",unlabeled2017/000000384075.jpg,True,4,1
a bird sitting on a branch of a tree,"['unlabeled2017/000000501650.jpg', 'unlabeled2017/000000387491.jpg', 'unlabeled2017/000000223147.jpg', 'unlabeled2017/000000072045.jpg', 'unlabeled2017/000000373250.jpg', 'unlabeled2017/000000227080.jpg', 'unlabeled2017/000000140731.jpg', 'unlabeled2017/000000190629.jpg', 'unlabeled2017/000000162397.jpg', 'unlabeled2017/000000416756.jpg']",unlabeled2017/000000416756.jpg,True,14,0
a close up of a wine glass with a bartender in the background,"['unlabeled2017/000000280751.jpg', 'unlabeled2017/000000057998.jpg', 'unlabeled2017/000000204724.jpg', 'unlabeled2017/000000028667.jpg', 'unlabeled2017/000000325319.jpg', 'unlabeled2017/000000241042.jpg', 'unlabeled2017/000000157286.jpg', 'unlabeled2017/000000527929.jpg', 'unlabeled2017/000000220681.jpg', 'unlabeled2017/000000275254.jpg']",unlabeled2017/000000275254.jpg,True,15,0
a group of giraffes is standing in a savannah,"['unlabeled2017/000000413904.jpg', 'unlabeled2017/000000450739.jpg', 'unlabeled2017/000000489366.jpg', 'unlabeled2017/000000310231.jpg', 'unlabeled2017/000000380592.jpg', 'unlabeled2017/000000046290.jpg', 'unlabeled2017/000000539479.jpg', 'unlabeled2017/000000010215.jpg', 'unlabeled2017/000000002070.jpg', 'unlabeled2017/000000244832.jpg']",unlabeled2017/000000244832.jpg,True,8,1
a double decker bus sits next to a brick wall,"['unlabeled2017/000000334801.jpg', 'unlabeled2017/000000167997.jpg', 'unlabeled2017/000000433796.jpg', 'unlabeled2017/000000416430.jpg', 'unlabeled2017/000000186141.jpg', 'unlabeled2017/000000558328.jpg', 'unlabeled2017/000000105549.jpg', 'unlabeled2017/000000579793.jpg', 'unlabeled2017/000000547994.jpg', 'unlabeled2017/000000454063.jpg']",unlabeled2017/000000454063.jpg,True,21,0
a bench sits next to a stone path and some plants,"['unlabeled2017/000000072431.jpg', 'unlabeled2017/000000090622.jpg', 'unlabeled2017/000000574728.jpg', 'unlabeled2017/000000361668.jpg', 'unlabeled2017/000000472340.jpg', 'unlabeled2017/000000496865.jpg', 'unlabeled2017/000000449430.jpg', 'unlabeled2017/000000557893.jpg', 'unlabeled2017/000000052542.jpg', 'unlabeled2017/000000251783.jpg']",unlabeled2017/000000052542.jpg,True,14,0
an older brown and black microwave that is smoking,"['unlabeled2017/000000116642.jpg', 'unlabeled2017/000000513545.jpg', 'unlabeled2017/000000258360.jpg', 'unlabeled2017/000000484147.jpg', 'unlabeled2017/000000537018.jpg', 'unlabeled2017/000000239836.jpg', 'unlabeled2017/000000495877.jpg', 'unlabeled2017/000000421467.jpg', 'unlabeled2017/000000416333.jpg', 'unlabeled2017/000000266480.jpg']",unlabeled2017/000000239836.jpg,True,14,0
a blue refrigerator in the corner of a room,"['unlabeled2017/000000297122.jpg', 'unlabeled2017/000000162655.jpg', 'unlabeled2017/000000416312.jpg', 'unlabeled2017/000000107865.jpg', 'unlabeled2017/000000409362.jpg', 'unlabeled2017/000000185369.jpg', 'unlabeled2017/000000050587.jpg', 'unlabeled2017/000000269342.jpg', 'unlabeled2017/000000083062.jpg', 'unlabeled2017/000000513021.jpg']",unlabeled2017/000000162655.jpg,True,1,1
a decoration that looks like a traffic light next to plants,"['unlabeled2017/000000209271.jpg', 'unlabeled2017/000000443027.jpg', 'unlabeled2017/000000009135.jpg', 'unlabeled2017/000000494307.jpg', 'unlabeled2017/000000125929.jpg', 'unlabeled2017/000000435524.jpg', 'unlabeled2017/000000172298.jpg', 'unlabeled2017/000000183860.jpg', 'unlabeled2017/000000459262.jpg', 'unlabeled2017/000000463574.jpg']",unlabeled2017/000000209271.jpg,True,0,1
a man stands at a dining room table holding a knife to cut a cake,"['unlabeled2017/000000048407.jpg', 'unlabeled2017/000000570042.jpg', 'unlabeled2017/000000102519.jpg', 'unlabeled2017/000000369396.jpg', 'unlabeled2017/000000571720.jpg', 'unlabeled2017/000000331166.jpg', 'unlabeled2017/000000278003.jpg', 'unlabeled2017/000000003374.jpg', 'unlabeled2017/000000416060.jpg', 'unlabeled2017/000000186922.jpg']",unlabeled2017/000000186922.jpg,True,49,0
a man performing skateboarding tricks at a park,"['unlabeled2017/000000340513.jpg', 'unlabeled2017/000000093640.jpg', 'unlabeled2017/000000304772.jpg', 'unlabeled2017/000000149419.jpg', 'unlabeled2017/000000291127.jpg', 'unlabeled2017/000000305403.jpg', 'unlabeled2017/000000115047.jpg', 'unlabeled2017/000000191914.jpg', 'unlabeled2017/000000277256.jpg', 'unlabeled2017/000000467669.jpg']",unlabeled2017/000000467669.jpg,True,528,0
a cat lying down in a bathroom sink,"['unlabeled2017/000000269595.jpg', 'unlabeled2017/000000546552.jpg', 'unlabeled2017/000000520052.jpg', 'unlabeled2017/000000419555.jpg', 'unlabeled2017/000000555676.jpg', 'unlabeled2017/000000552896.jpg', 'unlabeled2017/000000304354.jpg', 'unlabeled2017/000000375928.jpg', 'unlabeled2017/000000533151.jpg', 'unlabeled2017/000000192881.jpg']",unlabeled2017/000000304354.jpg,True,18,0
rows of wooden chairs and benches in a classroom,"['unlabeled2017/000000202577.jpg', 'unlabeled2017/000000008967.jpg', 'unlabeled2017/000000157706.jpg', 'unlabeled2017/000000013855.jpg', 'unlabeled2017/000000561461.jpg', 'unlabeled2017/000000045438.jpg', 'unlabeled2017/000000558359.jpg', 'unlabeled2017/000000072663.jpg', 'unlabeled2017/000000491555.jpg', 'unlabeled2017/000000212273.jpg']",unlabeled2017/000000202577.jpg,True,0,1
"about a dozen men are lined up for a bike race, possibly motorbikes, in front of a starting line they are in a stadium 2 ladies and a gentleman are standing in front of the starting line","['unlabeled2017/000000550190.jpg', 'unlabeled2017/000000201905.jpg', 'unlabeled2017/000000476241.jpg', 'unlabeled2017/000000146666.jpg', 'unlabeled2017/000000376348.jpg', 'unlabeled2017/000000397595.jpg', 'unlabeled2017/000000225346.jpg', 'unlabeled2017/000000502762.jpg', 'unlabeled2017/000000352583.jpg', 'unlabeled2017/000000302004.jpg']",unlabeled2017/000000550190.jpg,True,0,1
a small dog sits in the grass near a frisbee,"['unlabeled2017/000000337763.jpg', 'unlabeled2017/000000399717.jpg', 'unlabeled2017/000000355822.jpg', 'unlabeled2017/000000199718.jpg', 'unlabeled2017/000000189073.jpg', 'unlabeled2017/000000556252.jpg', 'unlabeled2017/000000242381.jpg', 'unlabeled2017/000000558140.jpg', 'unlabeled2017/000000303052.jpg', 'unlabeled2017/000000101728.jpg']",unlabeled2017/000000101728.jpg,True,16,0
a silver bucket filled with many scissors of different colors,"['unlabeled2017/000000443580.jpg', 'unlabeled2017/000000335247.jpg', 'unlabeled2017/000000073969.jpg', 'unlabeled2017/000000152523.jpg', 'unlabeled2017/000000512558.jpg', 'unlabeled2017/000000273462.jpg', 'unlabeled2017/000000376734.jpg', 'unlabeled2017/000000474493.jpg', 'unlabeled2017/000000371995.jpg', 'unlabeled2017/000000305859.jpg']",unlabeled2017/000000443580.jpg,True,1,1
the large brown cow is standing by the building eating grass,"['unlabeled2017/000000016350.jpg', 'unlabeled2017/000000426638.jpg', 'unlabeled2017/000000304077.jpg', 'unlabeled2017/000000303350.jpg', 'unlabeled2017/000000421398.jpg', 'unlabeled2017/000000128252.jpg', 'unlabeled2017/000000520400.jpg', 'unlabeled2017/000000206716.jpg', 'unlabeled2017/000000365415.jpg', 'unlabeled2017/000000165033.jpg']",unlabeled2017/000000165033.jpg,True,35,0
a family is enjoying the beach on a sunny day,"['unlabeled2017/000000070173.jpg', 'unlabeled2017/000000034559.jpg', 'unlabeled2017/000000368890.jpg', 'unlabeled2017/000000025518.jpg', 'unlabeled2017/000000376008.jpg', 'unlabeled2017/000000416975.jpg', 'unlabeled2017/000000179395.jpg', 'unlabeled2017/000000026295.jpg', 'unlabeled2017/000000547295.jpg', 'unlabeled2017/000000560666.jpg']",unlabeled2017/000000560666.jpg,True,100,0
beautiful stallion on a side road of a large farm,"['unlabeled2017/000000557207.jpg', 'unlabeled2017/000000163661.jpg', 'unlabeled2017/000000352013.jpg', 'unlabeled2017/000000397948.jpg', 'unlabeled2017/000000410353.jpg', 'unlabeled2017/000000552296.jpg', 'unlabeled2017/000000322496.jpg', 'unlabeled2017/000000079562.jpg', 'unlabeled2017/000000349704.jpg', 'unlabeled2017/000000361734.jpg']",unlabeled2017/000000361734.jpg,True,23,0
"this old boat called, 'julie' sits by the water's edge","['unlabeled2017/000000470934.jpg', 'unlabeled2017/000000579559.jpg', 'unlabeled2017/000000441397.jpg', 'unlabeled2017/000000133117.jpg', 'unlabeled2017/000000328911.jpg', 'unlabeled2017/000000180544.jpg', 'unlabeled2017/000000178758.jpg', 'unlabeled2017/000000541403.jpg', 'unlabeled2017/000000298579.jpg', 'unlabeled2017/000000051428.jpg']",unlabeled2017/000000470934.jpg,True,0,1
a pad of paper with a pen is on a desk between 2 computers,"['unlabeled2017/000000114908.jpg', 'unlabeled2017/000000097175.jpg', 'unlabeled2017/000000372601.jpg', 'unlabeled2017/000000385106.jpg', 'unlabeled2017/000000110318.jpg', 'unlabeled2017/000000314485.jpg', 'unlabeled2017/000000184579.jpg', 'unlabeled2017/000000394507.jpg', 'unlabeled2017/000000553144.jpg', 'unlabeled2017/000000005246.jpg']",unlabeled2017/000000005246.jpg,True,721,0
a man sits on a toilet bowl sitting in the kitchen,"['unlabeled2017/000000537958.jpg', 'unlabeled2017/000000516027.jpg', 'unlabeled2017/000000086619.jpg', 'unlabeled2017/000000039506.jpg', 'unlabeled2017/000000043386.jpg', 'unlabeled2017/000000129972.jpg', 'unlabeled2017/000000221340.jpg', 'unlabeled2017/000000447299.jpg', 'unlabeled2017/000000433364.jpg', 'unlabeled2017/000000403408.jpg']",unlabeled2017/000000516027.jpg,True,0,1
the intersection had a red light and wet streets,"['unlabeled2017/000000316305.jpg', 'unlabeled2017/000000450000.jpg', 'unlabeled2017/000000349149.jpg', 'unlabeled2017/000000249378.jpg', 'unlabeled2017/000000175667.jpg', 'unlabeled2017/000000538306.jpg', 'unlabeled2017/000000540242.jpg', 'unlabeled2017/000000417067.jpg', 'unlabeled2017/000000410298.jpg', 'unlabeled2017/000000166900.jpg']",unlabeled2017/000000175667.jpg,True,1,1
the giraffe is looking directly at the camera,"['unlabeled2017/000000451233.jpg', 'unlabeled2017/000000003828.jpg', 'unlabeled2017/000000562173.jpg', 'unlabeled2017/000000245851.jpg', 'unlabeled2017/000000253039.jpg', 'unlabeled2017/000000270300.jpg', 'unlabeled2017/000000541830.jpg', 'unlabeled2017/000000474490.jpg', 'unlabeled2017/000000519049.jpg', 'unlabeled2017/000000273024.jpg']",unlabeled2017/000000273024.jpg,True,41,0
the garage door is open in front of a living room,"['unlabeled2017/000000581345.jpg', 'unlabeled2017/000000243270.jpg', 'unlabeled2017/000000565356.jpg', 'unlabeled2017/000000261234.jpg', 'unlabeled2017/000000567163.jpg', 'unlabeled2017/000000240132.jpg', 'unlabeled2017/000000249061.jpg', 'unlabeled2017/000000366015.jpg', 'unlabeled2017/000000335071.jpg', 'unlabeled2017/000000178855.jpg']",unlabeled2017/000000178855.jpg,True,0,1
