,target_image,option
107275,./playground/data/flickr30k/flickr30k_images/4624337625.jpg,A person in a light green jacket carries a multicolored umbrella in an outdoor public area .
48955,./playground/data/flickr30k/flickr30k_images/2925556493.jpg,A woman  dressed in old fashioned clothing sews a piece of material as she sits in a wooden chair besides a red brick building .
102760,./playground/data/flickr30k/flickr30k_images/4525771890.jpg,A woman is walking towards the subway entrance during the nighttime hours .
89820,./playground/data/flickr30k/flickr30k_images/3994519104.jpg,A woman with a long-sleeved red shirt  black pants and black shoes  dances with a balding man in a long-sleeved black shirt  black pants and black shoes in a plain room with a wooden floor .
45110,./playground/data/flickr30k/flickr30k_images/2834409892.jpg,A man wearing a black and white striped shirt on his phone  site next to a woman also on her phone on the Metro bus bench .
96215,./playground/data/flickr30k/flickr30k_images/4328435391.jpg,A group of young men and women in red t-shirts sit together on a long bench .
142305,./playground/data/flickr30k/flickr30k_images/6276165800.jpg,A young Indian boy is lean into a wall  wearing a red and white striped shirt  and covering his eyes .
122760,./playground/data/flickr30k/flickr30k_images/4871230195.jpg,Three people sit at a table in front of an establishment displaying the words Bar Gleati Tabacchi .
126105,./playground/data/flickr30k/flickr30k_images/4931356888.jpg,A man and a boy riding brown horses are roping a white steer in a corral .
51450,./playground/data/flickr30k/flickr30k_images/2992999413.jpg,Amish looking people are outside a building  standing near a tree .
109465,./playground/data/flickr30k/flickr30k_images/4663966489.jpg,A small boy in plaid looking off into the distance while a couple hold hands in the background .
12485,./playground/data/flickr30k/flickr30k_images/1803299842.jpg,Two men sit outside of an apartment playing a board game  while a third man watches .
66180,./playground/data/flickr30k/flickr30k_images/3337113147.jpg,A girl in a blue shirt and pink pants is looking through a tripod .
11375,./playground/data/flickr30k/flickr30k_images/170292350.jpg,A baseball player in a red jersey throwing a ball at the pitchers mound .
8930,./playground/data/flickr30k/flickr30k_images/149388615.jpg,A lady with a bandanna  a man with a red hat and man with glasses and a cane sit on a bench while others stand waiting for a train .
112035,./playground/data/flickr30k/flickr30k_images/4703468060.jpg,A group of young men are running together on a beach .
65995,./playground/data/flickr30k/flickr30k_images/3334300164.jpg,A man in a wetsuit is suspended from a para-surfing harness whilst moving across the water on a board .
139800,./playground/data/flickr30k/flickr30k_images/5973476404.jpg,A man in a gray baseball uniform and a black hat is catching a ball in a baseball mit .
135305,./playground/data/flickr30k/flickr30k_images/54723805.jpg,Four mountaineers are walking on a trail under the moon that is visible in the blue sky .
65000,./playground/data/flickr30k/flickr30k_images/331277641.jpg,A man with a black coat  blue jeans  and sneakers is standing next to a blue wall with writing on it .
100025,./playground/data/flickr30k/flickr30k_images/4461953198.jpg,a flagman holding a stop sing out on a country road with green trees and mailboxes .
128930,./playground/data/flickr30k/flickr30k_images/4974263771.jpg,Three young people sit on a wall while two older people walk past .
59715,./playground/data/flickr30k/flickr30k_images/3190295971.jpg,Two men are sitting down while a woman is standing and moving something in a bowl .
49525,./playground/data/flickr30k/flickr30k_images/2938996469.jpg,While people are organizing the space behind him  a man puts on a glove as he stands next to a puddle .
128425,./playground/data/flickr30k/flickr30k_images/496670720.jpg,A band  whose members are dressed in wetsuits and flippers  walk down the street .
86830,./playground/data/flickr30k/flickr30k_images/3851691069.jpg,Two barefoot men in mostly white apparel square off with machetes in what appears to be a group folk performance .
90450,./playground/data/flickr30k/flickr30k_images/402897160.jpg,A man wearing glasses and a brown jacket shovels very deep snow off a sidewalk .
32635,./playground/data/flickr30k/flickr30k_images/2520255786.jpg,A child jumping out of a swing toward a target placed on the ground .
45420,./playground/data/flickr30k/flickr30k_images/2841088187.jpg,A boy with a whistle around his neck is standing by a lake and gesturing .
148830,./playground/data/flickr30k/flickr30k_images/707941195.jpg,A black dog with white paws stands on a large rock in a field .
123435,./playground/data/flickr30k/flickr30k_images/488561307.jpg,A group of individual adults collect around a bar and engage in conversation .
142980,./playground/data/flickr30k/flickr30k_images/6336028231.jpg,A skydiving instructor with a student strapped together while skydiving .
132675,./playground/data/flickr30k/flickr30k_images/524787268.jpg,Two men sit on a park bench  watching the river roll by  as a dog stands off to the side .
62770,./playground/data/flickr30k/flickr30k_images/3257107194.jpg,One man in the hole of a tire in water  and another man getting up from the water next to him .
4640,./playground/data/flickr30k/flickr30k_images/129863111.jpg,An adult female with dark hair is holding a baby .
56440,./playground/data/flickr30k/flickr30k_images/3113322995.jpg,The dogs run in the snow pulling a sled with a person .
110490,./playground/data/flickr30k/flickr30k_images/4683273591.jpg,A woman in white with a pink wrap around her head painting the face of a young girl .
151310,./playground/data/flickr30k/flickr30k_images/7470837898.jpg,Man plays backgammon on a cobbled sidewalk with another man while talking on his cellphone while a third man looks on .
61335,./playground/data/flickr30k/flickr30k_images/3225025519.jpg,A man holds a microphone in front of another man who is wearing a blue hat .
77135,./playground/data/flickr30k/flickr30k_images/3576312396.jpg,A group of people in boats racing towards the shore .
112225,./playground/data/flickr30k/flickr30k_images/4706166634.jpg,Two girls running down the street in front of a large building with white and red flags by the door .
65765,./playground/data/flickr30k/flickr30k_images/3329207492.jpg,A group of young people are playing around with water guns and standing in front of a white truck .
66990,./playground/data/flickr30k/flickr30k_images/3352697012.jpg,Two female professional wrestlers are in a ring in the air and about to hit the floor .
105795,./playground/data/flickr30k/flickr30k_images/4592144222.jpg,A man wearing black is sitting by a lamp post smoking a cigarette .
27920,./playground/data/flickr30k/flickr30k_images/2407865161.jpg,A woman in a brown coat holding a Macy 's shopping bag walks down a public street .
80110,./playground/data/flickr30k/flickr30k_images/3643981804.jpg,A Dallas man in a hat reaches up to realtor signs on a brick wall  advertising Trees and the Gypsy Tea Room .
85120,./playground/data/flickr30k/flickr30k_images/378434971.jpg,A bulldozer works to demolish a decrepit building ; in the background  another brick building waits for its demise  its face covered with a grid of blackened window-holes .
12820,./playground/data/flickr30k/flickr30k_images/182246705.jpg,Two young boys are walking over a wet section of pavement  one is holding a hat over his head  the other is holding an umbrella .
153280,./playground/data/flickr30k/flickr30k_images/7725130978.jpg,These women are playing a beach volleyball game as part of the Summer Olympics in 2012 which took place in London .
85640,./playground/data/flickr30k/flickr30k_images/3808935147.jpg,Two boys  one wearing an orange t-shirt while the other wearing a green striped shirt are jumping on a trampoline .
73365,./playground/data/flickr30k/flickr30k_images/3496279461.jpg,2 people are in a boat wearing straw hats as a man paddles throughout a river that very overgrown with plants .
22285,./playground/data/flickr30k/flickr30k_images/226065257.jpg,Four people sit on a subway two read books  one looks at a cellphone and is wearing knee high boots .
74420,./playground/data/flickr30k/flickr30k_images/3518608016.jpg,A woman playing with a brown dog on a garden path .
127645,./playground/data/flickr30k/flickr30k_images/4952155171.jpg,A small white kid holding a black umbrella in front of him  in order to block the pressurized water being shot out from a red firetruck in the parking lot .
16280,./playground/data/flickr30k/flickr30k_images/207955925.jpg,Two women are giving each other a hug while a man holding a glass is looking at the camera .
158710,./playground/data/flickr30k/flickr30k_images/98208372.jpg,A group of people walk past a lake in the background .
14715,./playground/data/flickr30k/flickr30k_images/200276116.jpg,A boy in blue and red goggles is swimming .
30560,./playground/data/flickr30k/flickr30k_images/2464259416.jpg,A black and brown dog and a gray poodle sticking its butt in the air on the sand .
73135,./playground/data/flickr30k/flickr30k_images/3490607174.jpg,One Asian man in a group of four  drops a drink .
32110,./playground/data/flickr30k/flickr30k_images/2506460104.jpg,A group of people sit outside under a white shade tent  sitting in green lawn chairs  playing instruments with a view of a body of water behind them .
60760,./playground/data/flickr30k/flickr30k_images/3212671393.jpg,A construction worker in a brown hat and blue shirt smokes a cigar as he uses a nail gun to pin down a shingle on the roof .
133650,./playground/data/flickr30k/flickr30k_images/533602654.jpg,Two children lay under a sculpture of a fish  about to swallow them .
155185,./playground/data/flickr30k/flickr30k_images/80479586.jpg,A man in a suit with his arm in a blue sling is walking down the sidewalk in front of a pink building while two women are standing there together .
26130,./playground/data/flickr30k/flickr30k_images/2357648783.jpg,A man with long hair and a green striped shirt talks to a woman who is listening intently .
106740,./playground/data/flickr30k/flickr30k_images/4614283206.jpg,Four people  two of whom can be seen wearing conference badges  are grouped around a long table with several laptops on it .
156010,./playground/data/flickr30k/flickr30k_images/8173029395.jpg,A standing audience of revelers watches the performance of a musical act in a small indoor venue .
114440,./playground/data/flickr30k/flickr30k_images/4740882835.jpg,Two people sit and enjoy themselves along a busy street in lawn chairs as others mill in front of them .
103870,./playground/data/flickr30k/flickr30k_images/4552725875.jpg,A paramedic is looking towards a firetruck as he stands in some small bushes .
119785,./playground/data/flickr30k/flickr30k_images/4825995199.jpg,A man wearing a striped shirt carried a white scroll as he walked down the street .
61945,./playground/data/flickr30k/flickr30k_images/3240570205.jpg,One young boy in a yellow long-sleeved shirt and jeans sitting down  with five adults in front of him  one operating a video camera .
88415,./playground/data/flickr30k/flickr30k_images/3932157451.jpg,A shirtless man with a cross tattoo and a gray hat stands on a scaffolding in front of a yellow building .
94960,./playground/data/flickr30k/flickr30k_images/4266910970.jpg,An attendant in a beige uniform and red middle-eastern hat pours liquid from a gold pitcher into a cup while woman sits reading a magazine by a window behind her and a man wearing a striped shirt carrying an electronic device approaches her .
20780,./playground/data/flickr30k/flickr30k_images/2219805677.jpg,A gold dog is on the beach and is looking at the tennis ball in the air .
47795,./playground/data/flickr30k/flickr30k_images/2897832422.jpg,A man wearing a black hat  coat and pants and a white shirt sitting at an outdoor table reading .
21185,./playground/data/flickr30k/flickr30k_images/2230482572.jpg,A young man and woman in the middle of the road on grass holding up a Huckabee sign  while other Huckabee signs are on the floor .
149615,./playground/data/flickr30k/flickr30k_images/7187734520.jpg,A skateboarder rides the bowl of a skate park while a man watches in the background .
14395,./playground/data/flickr30k/flickr30k_images/1969573381.jpg,The brown dog who looks like a dingo looks out of the forest .
138975,./playground/data/flickr30k/flickr30k_images/5892931627.jpg,A uniformed baseball player just took a swing at the ball  as the rest of the team looks on and the catcher behind him  is ready for the play .
102295,./playground/data/flickr30k/flickr30k_images/4514569500.jpg,A man with black hair and blue shirt looking at a young girl with brown hair and a flower dress in a park .
6390,./playground/data/flickr30k/flickr30k_images/1383840121.jpg,The brown dog is laying down on a blue sheet .
46900,./playground/data/flickr30k/flickr30k_images/2878190821.jpg,Little boy who has played in the dirt standing near his swing set .
32265,./playground/data/flickr30k/flickr30k_images/2509824208.jpg,A brown dog is running very fast with his tongue out .
120495,./playground/data/flickr30k/flickr30k_images/4835296120.jpg,A man in a light blue and white striped shirt is cooking at the stove in a kitchen .
63620,./playground/data/flickr30k/flickr30k_images/3275537015.jpg,Girls in bikinis are playing a game of volleyball near a body of water .
16040,./playground/data/flickr30k/flickr30k_images/2073105823.jpg,A man in a black hoodie and jeans skateboards down a railing .
34435,./playground/data/flickr30k/flickr30k_images/2555536389.jpg,A man in an orange work suit with safety goggles on  mixing chemicals for work .
34285,./playground/data/flickr30k/flickr30k_images/2551602773.jpg,The passengers are leaving the airplane by a stairway .
109515,./playground/data/flickr30k/flickr30k_images/4665599368.jpg,A small boy is listening to headphones is front of a building  with a soldier in the background .
44335,./playground/data/flickr30k/flickr30k_images/281297361.jpg,An elderly woman in a tan coat and scarf tied around her head is standing outside .
36875,./playground/data/flickr30k/flickr30k_images/2617275504.jpg,A small girl is taking a picture with a man wearing a white shirt and tan shorts .
74280,./playground/data/flickr30k/flickr30k_images/3516285214.jpg,A person surfs in the curl of a wave  obsured by the falling water .
145220,./playground/data/flickr30k/flickr30k_images/6757904431.jpg,Two cheerleaders in dark blue pants and bra style top with yellow pompoms mid cheer .
11040,./playground/data/flickr30k/flickr30k_images/167295035.jpg,A climber wearing a white helmet is perched on the side of a rock face .
123495,./playground/data/flickr30k/flickr30k_images/4886651712.jpg,Man with blue plaid shirt and white pants skateboards through a building that has graffiti art
91745,./playground/data/flickr30k/flickr30k_images/4089545692.jpg,A man wearing black pants and a white shirt busily working in a restaurant kitchen with food and 3 wine bottles on the counter to his right  and dishes in the dishwasher to his left .
99850,./playground/data/flickr30k/flickr30k_images/445655284.jpg,A large black and tan dog is running across the snow in a wooded area .
50450,./playground/data/flickr30k/flickr30k_images/2966138584.jpg,On a sunny day  in a lush  green field  one small girl inspects a rock while her friend goes off in another direction .
16230,./playground/data/flickr30k/flickr30k_images/2078665663.jpg,Asian shoppers pass by the Carpintaria  all carrying shopping bags filled with items .
15610,./playground/data/flickr30k/flickr30k_images/2058472558.jpg,A little girl in a paisley dress runs across a sandy playground .
135340,./playground/data/flickr30k/flickr30k_images/5477639022.jpg,A man wearing a light blue shirt and gray pants is crouched in a field holding nuts in his hand .
26100,./playground/data/flickr30k/flickr30k_images/2355880294.jpg,Two men climb up a waterfall using a rope while wearing shorts and hard hats .
27860,./playground/data/flickr30k/flickr30k_images/24053752.jpg,A person in a red shirt is mowing the grass with a green riding mower .
5460,./playground/data/flickr30k/flickr30k_images/133868556.jpg,This picture is of a young girl practicing gymnastics in a gym .
109920,./playground/data/flickr30k/flickr30k_images/4672034241.jpg,A small kid wearing a helmet smiles while his father is doing some adjustment at its back .
43655,./playground/data/flickr30k/flickr30k_images/279233409.jpg,Two children display a stone with dialect on it while people in the background are reading .
138440,./playground/data/flickr30k/flickr30k_images/5822447877.jpg,Two children in bating suits are playing with a volleyball on a beautiful beach .
62625,./playground/data/flickr30k/flickr30k_images/3254640083.jpg,A climber is climbing on an artificial climbing wall
140860,./playground/data/flickr30k/flickr30k_images/6142026295.jpg,Several men wearing several different colors are attending a bike rally .
109505,./playground/data/flickr30k/flickr30k_images/4665585666.jpg,A father with a red shirt and beard is cuddling with his two children in a chair .
97830,./playground/data/flickr30k/flickr30k_images/4399663161.jpg,Children are running near stationary bikes located next to a playground .
24050,./playground/data/flickr30k/flickr30k_images/2306129640.jpg,Two people sitting at a table with several glasses on it .
101775,./playground/data/flickr30k/flickr30k_images/4505032796.jpg,Two women  one dark-haired  the other blond with a tattoo on her right shoulder  laugh together .
88020,./playground/data/flickr30k/flickr30k_images/3909183873.jpg,A man wearing bifocals sits and plays a guitar next to a young woman with a straw hat who is holding a violin .
57280,./playground/data/flickr30k/flickr30k_images/3135215526.jpg,A woman holding a blue shopping bag and a purse while holding a child 's hand that is wearing a striped blue and red shirt .
96550,./playground/data/flickr30k/flickr30k_images/4337751447.jpg,a man wearing a coat and rain hat pushes a blue shopping cart loaded with his belongings across a street .
74335,./playground/data/flickr30k/flickr30k_images/3517035380.jpg,A woman in shorts and sandals is being pulled by a small child as a subway train goes by .
63435,./playground/data/flickr30k/flickr30k_images/327142149.jpg,A woman in a pick shirt is holding a shovel near a woman in brown sweeping  while a third woman sits on a stoop .
25090,./playground/data/flickr30k/flickr30k_images/233242340.jpg,A dog is running down a black and yellow ramp in an obstacle course .
48890,./playground/data/flickr30k/flickr30k_images/2924884899.jpg,A man with a blue sport hat and white sport jacket is staring with crowd nearby .
66550,./playground/data/flickr30k/flickr30k_images/3344040145.jpg,A person in a red jacket yelling something with a snow scene in the background .
63390,./playground/data/flickr30k/flickr30k_images/3270273940.jpg,Two young children jumping off of a cement ledge onto the dirt ground .
7135,./playground/data/flickr30k/flickr30k_images/1413956047.jpg,Three men posing with scenic mountains in the background
58880,./playground/data/flickr30k/flickr30k_images/3175923463.jpg,Three people in traditional garb play bamboo instruments .
37405,./playground/data/flickr30k/flickr30k_images/2633722629.jpg,A girl is upside-down on a trampoline and you can see her navel .
64270,./playground/data/flickr30k/flickr30k_images/3292277400.jpg,Two grayish-brown dogs looking at something in the grass .
69815,./playground/data/flickr30k/flickr30k_images/34176632.jpg,A man is sleeping on the floor with a sleeping dog across his chest .
70240,./playground/data/flickr30k/flickr30k_images/3426724811.jpg,several men in biohazard suits carrying a human looking doll on a rolling bed
6490,./playground/data/flickr30k/flickr30k_images/1388970365.jpg,Three dogs  two black one brown  are playing in a grass field .
70850,./playground/data/flickr30k/flickr30k_images/3439128755.jpg,A brown dog in a pink shirt chews something white while a brown dog in yellow watches .
22020,./playground/data/flickr30k/flickr30k_images/2252918695.jpg,Young girl in a gray jacket poses for a picture as a family on a small motorcycle drive past on a dirt road .
140415,./playground/data/flickr30k/flickr30k_images/6077671447.jpg,A woman with brown hair is wearing a brown shirt and navy colored pants and is working on pottery at a table full of unpainted pottery with a chalkboard in the background .
34120,./playground/data/flickr30k/flickr30k_images/2547957252.jpg,A bride and groom stand surrounded by many others outside of a building ; the groom is holding balloons .
105530,./playground/data/flickr30k/flickr30k_images/458761952.jpg,A blond  blue-eyed toddler girl is dressed in pink and wearing a plaid pink bucket hat  and is eating an ice cream cone in the park on a cloudy day .
35235,./playground/data/flickr30k/flickr30k_images/257588281.jpg,A brown dog is running through water with a stick in its mouth .
113335,./playground/data/flickr30k/flickr30k_images/4724156083.jpg,Young Los Angeles Lakers fans stand on top of a car waving Lakers banners in the middle of a crowd of fans .
138040,./playground/data/flickr30k/flickr30k_images/57691053.jpg,A group of people are standing in a wooded area dressed in costumes and drinking beer .
44365,./playground/data/flickr30k/flickr30k_images/2813992915.jpg,A man on a bike executes a jump as part of a competition while the crowd watches .
132010,./playground/data/flickr30k/flickr30k_images/5194404719.jpg,A man in a bright orange shirt scales a slate colored rock wall face .
123050,./playground/data/flickr30k/flickr30k_images/4876249897.jpg,A woman wearing a blue sweatshirt sits surrounded by large baskets full of flower petals .
64840,./playground/data/flickr30k/flickr30k_images/330849796.jpg,A woman  curled up  sleeps in her seat on a bus .
27505,./playground/data/flickr30k/flickr30k_images/2394824046.jpg,A man is sitting in front of a Buddist monument .
128700,./playground/data/flickr30k/flickr30k_images/4970865205.jpg,Two men wearing jeans and cowboy hats are waiting and looking for something or someone  while perched on a fence .
102015,./playground/data/flickr30k/flickr30k_images/4509482298.jpg,Several people are sitting in white  plastic chairs in the shade while several purses  including a Betty Boop purse  sit on a table nearby .
74110,./playground/data/flickr30k/flickr30k_images/3512033861.jpg,A crowd of people surrounding a woman in white wearing sunglasses .
50055,./playground/data/flickr30k/flickr30k_images/2953861572.jpg,a black dog with a blue tag running on a beach
56345,./playground/data/flickr30k/flickr30k_images/3111261053.jpg,The interior of an oriental restaurant with chandeliers  and a group of diners seated at a table .
117700,./playground/data/flickr30k/flickr30k_images/4797720700.jpg,A balding  heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman .
86420,./playground/data/flickr30k/flickr30k_images/3831987297.jpg,A man with a cart is stopped on a dirt road as two others look at the things on his cart .
51850,./playground/data/flickr30k/flickr30k_images/3004799484.jpg,A group of male singers arranged in a semicircle on a stage holding folders while other people take pictures of them .
37155,./playground/data/flickr30k/flickr30k_images/262817915.jpg,A woman holding a cake in front of man with a suit who has something in his mouth .
22980,./playground/data/flickr30k/flickr30k_images/2279906281.jpg,A soccer player with no shirt standing in the middle of the field .
126405,./playground/data/flickr30k/flickr30k_images/4934743347.jpg,A woman wearing red flip-flops site on a wall while listening to something with headphones .
139860,./playground/data/flickr30k/flickr30k_images/5989324335.jpg,The player in the white baseball uniform is sliding into the base while the opposing player in gray uniform tries to tag him out .
138445,./playground/data/flickr30k/flickr30k_images/5823012892.jpg,A little boy is serving tea to four dolls which are seated around a small table as a little girl stands nearby watching .
96340,./playground/data/flickr30k/flickr30k_images/4329187340.jpg,A group of women on a green bus  one has noticed the camera and attempts to imitate it by making a rectangle with her index finger and her thumb .
38695,./playground/data/flickr30k/flickr30k_images/26653224.jpg,People walking on a platform at a train station  with informational signs overhead .
81865,./playground/data/flickr30k/flickr30k_images/3687215840.jpg,Two girls sitting on the stoop of a building  sharing a laugh  while one drinks coffee .
92580,./playground/data/flickr30k/flickr30k_images/4129768323.jpg,A man sleeping on some pipes in a park next to a guitar and some blocks of cement .
151135,./playground/data/flickr30k/flickr30k_images/7436121372.jpg,A sailboat splashing in the water as some people look over the deck .
112955,./playground/data/flickr30k/flickr30k_images/4717966711.jpg,An Asian woman  wearing a light blur jacket  enjoys a skewer outside .
31885,./playground/data/flickr30k/flickr30k_images/2501942587.jpg,People walk outside of a building that has many murals painted on it .
148690,./playground/data/flickr30k/flickr30k_images/7062002269.jpg,A man in a red shirt is playing a racing video game .
65810,./playground/data/flickr30k/flickr30k_images/3330007895.jpg,A man in a black jacket is beside the window of a coffee shop looking down .
95570,./playground/data/flickr30k/flickr30k_images/4296373889.jpg,A man cleaning the park with a dark stripe hat  blue coat and dark blue jeans  with a dog on a leash holding a paper picker  along with a man who has a blue hat  yellow gloves  blue coat  light blue jeans  paper picker and bag .
74820,./playground/data/flickr30k/flickr30k_images/35268263.jpg,An older woman wearing a white striped shirt is working on clothing with a sowing machine .
143055,./playground/data/flickr30k/flickr30k_images/6339096.jpg,A man waiting for the results of the machine after doing an experiment in his laboratory .
80915,./playground/data/flickr30k/flickr30k_images/3664988259.jpg,A guy sitting on a chair  dressed in black  with earphones and a mic possibly getting ready to sing .
13110,./playground/data/flickr30k/flickr30k_images/1858963639.jpg,A smiling woman wearing a red hard hat has a long length of rope around her shoulders .
149295,./playground/data/flickr30k/flickr30k_images/7154224949.jpg,A smiling  bare chested Oriental man wearing gray pants holds a sharp object against his chest in a disturbing portrayal of the last moments before he will commit suicide .
145835,./playground/data/flickr30k/flickr30k_images/6835586066.jpg,A pitcher  wearing a dark green jersey and a green and yellow cap  is delivering a pitch and is pictured in his follow through motion .
133995,./playground/data/flickr30k/flickr30k_images/5364849864.jpg,Players from two hockey teams  one in black jerseys and one in white  fight over a puck on an ice rink as a referee and audience look on .
115570,./playground/data/flickr30k/flickr30k_images/4758576771.jpg,A man working on a yellow airplane while a lady wearing sunglasses look away .
415,./playground/data/flickr30k/flickr30k_images/102351840.jpg,A man is drilling through the frozen ice of a pond .
46810,./playground/data/flickr30k/flickr30k_images/2876993733.jpg,Two people wearing green raincoats sit in blue bleachers that are otherwise empty .
113040,./playground/data/flickr30k/flickr30k_images/4718218178.jpg,A woman wearing black heels and carrying a white purse is walking down a lone street aligned with thin trees .
73885,./playground/data/flickr30k/flickr30k_images/350529848.jpg,Two black dogs playing in surf  one grabbing a red ball off the sand .
97605,./playground/data/flickr30k/flickr30k_images/4389770417.jpg,Four Eagle Scouts are on stage with camping gear in the background .
145735,./playground/data/flickr30k/flickr30k_images/6826414310.jpg,Four people are speed skating along on a race course with number 8 in the lead .
63095,./playground/data/flickr30k/flickr30k_images/3262968473.jpg,A couple of guys on a stage  one is playing a instrument while the other two are standing around .
6640,./playground/data/flickr30k/flickr30k_images/1394756978.jpg,A city sidewalk scene consisting of two men with dreadlocks sitting on the ground  a punk rocker holding books  a woman with a camera walking away  and a man wearing a long coat  scarf  hat  and sunglasses looking away from the picture .
142615,./playground/data/flickr30k/flickr30k_images/6307540579.jpg,A photographer with bushy dark hair takes a photo of a skateboarder at an indoor park .
37370,./playground/data/flickr30k/flickr30k_images/2632463480.jpg,A man and a woman stand underneath a brick arch and read newspapers .
130955,./playground/data/flickr30k/flickr30k_images/509987636.jpg,An older man with a graying beard sits in front of works of art  in a wide-brimmed hat .
53250,./playground/data/flickr30k/flickr30k_images/3036650701.jpg,A young girl is instructed by her father on how to use the microscope to look at the samples from their field trip .
24575,./playground/data/flickr30k/flickr30k_images/2318834690.jpg,A man is standing on a dock looking at a boat on the water at sunrise .
103675,./playground/data/flickr30k/flickr30k_images/4548047620.jpg,Two ladies getting their photo taken by a man in a light patterned hoodie while another man in a dark coat stands holding purses and observes .
73495,./playground/data/flickr30k/flickr30k_images/3498157589.jpg,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie .
92190,./playground/data/flickr30k/flickr30k_images/4107474314.jpg,Three boys on a basketball court  wearing team uniforms  are attempting to reach a basketball which is not photographed but appears to be descending just out of their reach .
126350,./playground/data/flickr30k/flickr30k_images/4934375269.jpg,A man carrying something made of red fabric in a bicycle basket rides a bicycle through a crowded  paved outdoor area .
